FullID	Site	Succession	SampleVolume_mL	Altitude
LT4a07E	LT	Early	5	1239
LT4a08L	LT	Late	15	1239
LT4a09E	LT	Early	17.5	1239
LT4a10E	LT	Early	19	1239
LT4a11L	LT	Late	10	1239
LT4a12L	LT	Late	15	1239
LT4b13E	LT	Early	10	1239
LT4b14E	LT	Early	4.5	1239
LT4b15E	LT	Early	4	1239
LT4b16E	LT	Early	12.5	1239
LT4N01M	LT	Moss	0.968700000000001	1239
LT4N02M	LT	Moss	1.0696	1239
LV1a01L	LV	Late	7.5	1019
LV1a02E	LV	Early	5	1019
LV1a03L	LV	Late	20	1019
LV1a04E	LV	Early	7	1019
LV1a05E	LV	Early	4	1019
LV1a06L	LV	Late	15	1019
LV1a07L	LV	Late	4	1019
LV1a08E	LV	Early	7	1019
LV1a09L	LV	Late	15	1019
LV1a10E	LV	Early	5	1019
LV1a14E	LV	Early	3.5	1019
LV1a15E	LV	Early	5	1019
LV1a16E	LV	Early	10	1019
LV1N01M	LV	Moss	1.214	1019
LV1N02M	LV	Moss	0.9855	1019
LV2a14E	LV	Early	12	1019
LV2a15E	LV	Early	5	1019
LV2a16E	LV	Early	7	1019
LV2b01L	LV	Late	7.5	1019
LV2b02E	LV	Early	3.5	1019
LV2b03L	LV	Late	15	1019
LV2b04L	LV	Late	9.5	1019
LV2b05E	LV	Early	4	1019
LV2b06L	LV	Late	7.5	1019
LV2b07L	LV	Late	12.5	1019
LV2b08E	LV	Early	2	1019
LV2b09E	LV	Early	4	1019
LV2b10E	LV	Early	4	1019
LV2b11L	LV	Late	4	1019
LV2b12L	LV	Late	5	1019
LV2b13L	LV	Late	4	1019
LV2N01M	LV	Moss	0.949600000000001	1019
LV2N02M	LV	Moss	0.816600000000001	1019
LV3a16L	LV	Late	2	1019
LV3b01L	LV	Late	3	1019
LV3b02E	LV	Early	4	1019
LV3b03E	LV	Early	2	1019
LV3b04E	LV	Early	1.5	1019
LV3b05L	LV	Late	2	1019
LV3b06L	LV	Late	2	1019
LV3b07E	LV	Early	5	1019
LV3c08L	LV	Late	2	1019
LV3c09L	LV	Late	2	1019
LV3c10L	LV	Late	1.5	1019
LV3c11L	LV	Late	3	1019
LV3c12E	LV	Early	2.5	1019
LV3c13E	LV	Early	1.5	1019
LV3c14E	LV	Early	2	1019
LV3c15E	LV	Early	1.5	1019
LV3N01M	LV	Moss	0.875600000000001	1019
LV3N02M	LV	Moss	0.924300000000001	1019
LV4a14L	LV	Late	4	1019
LV4a15L	LV	Late	1.5	1019
LV4a16L	LV	Late	2	1019
LV4b01E	LV	Early	4	1019
LV4b02L	LV	Late	4	1019
LV4b03L	LV	Late	7.5	1019
LV4b04L	LV	Late	7.5	1019
LV4b05E	LV	Early	3.5	1019
LV4b06E	LV	Early	4	1019
LV4b07E	LV	Early	2	1019
LV4b08E	LV	Early	2	1019
LV4b09E	LV	Early	4	1019
LV4b10L	LV	Late	5	1019
LV4b11E	LV	Early	10	1019
LV4b12E	LV	Early	3.5	1019
LV4b13L	LV	Late	4	1019
LV4N01M	LV	Moss	0.893800000000001	1019
LV4N02M	LV	Moss	1.2381	1019
MC0020P	MC	16S MC Pilot	NA	NA
MC0020R	MC	16S MC SMP	NA	NA
MC0100P	MC	16S MC Pilot	NA	NA
MC0100R	MC	16S MC SMP	NA	NA
NCNNNNN	NC	NC Pilot	NA	NA
NCNNNNO	NC	NC SMP	NA	NA
CB1N01Q	CB	Moss	0.873800000000001	605
CB1N02Q	CB	Moss	0.812100000000001	605
CB2N01Q	CB	Moss	0.564600000000001	605
CB2N02Q	CB	Moss	0.730700000000001	605
CB3N01Q	CB	Moss	0.571500000000001	605
CB3N02Q	CB	Moss	0.822200000000001	605
CB4N01Q	CB	Moss	0.561600000000001	605
CB4N02Q	CB	Moss	0.658900000000001	605
LE1N01Q	LE	Moss	0.5732	1022
LE1N02Q	LE	Moss	0.719000000000001	1022
LE2N01Q	LE	Moss	0.956400000000001	1022
LE2N02Q	LE	Moss	0.7669	1022
LE3N01Q	LE	Moss	0.668700000000001	1022
